Hole,Par,Yardage,Handicap,Score,Putts,Partials,Fulls,Tee Direction,Drops from Tee,Drops from Approach,Drop from Partial
1,5,465,10,6,3,0,3,Left Miss,0,0,0
2,4,376,9,5,2,1,2,Hit,0,0,0
3,5,492,1,6,2,1,3,Right Miss,0,0,0
4,3,157,16,3,2,0,1,Hit,0,0,0
5,4,350,17,4,2,0,2,Right Miss,0,0,0
6,4,358,12,5,2,1,2,Right Miss,0,0,0
7,4,328,18,5,2,1,2,Hit,0,0,0
8,3,194,8,3,1,1,1,Short Miss,0,0,0
9,4,388,5,5,2,1,2,Hit,0,0,0
10,5,438,6,5,3,0,2,Right Miss,0,0,0
11,4,383,14,7,3,1,3,Right Miss,0,0,0
12,4,412,3,5,2,1,2,Right Miss,0,0,0
13,3,152,11,3,2,0,1,Hit,0,0,0
14,4,305,15,5,3,0,2,Hit,0,0,0
15,3,170,7,3,1,1,1,Short Miss,0,0,0
16,5,508,2,7,2,1,3,Right Miss,1,0,0
17,4,340,13,5,2,1,2,Right Miss,0,0,0
18,4,345,4,5,2,1,2,Right Miss,0,0,0
